PrevStatus,NewStatus,Time,CallId
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce1
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce2
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce3
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce4
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce5
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce6
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce7
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce8
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce9
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce10
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce11
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce12
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce13
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce14
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce15
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce16
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce17
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce18
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce19
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce20
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce21
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce22
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce23
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce24
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce25
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce26
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce27
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce28
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce29
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce30
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce31
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce32
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce33
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce34
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce35
Expected,MatchedToReceived,2016/10/25T12:00:00.000,mce36
